Date/Time,ABF:Zone Mean Air Temperature [C](Hourly),ANTEROOM:Zone Mean Air Temperature [C](Hourly),FREEZER1:Zone Mean Air Temperature [C](Hourly),FREEZER2:Zone Mean Air Temperature [C](Hourly),FREEZER3:Zone Mean Air Temperature [C](Hourly),FREEZER4:Zone Mean Air Temperature [C](Hourly),GUDANG:Zone Mean Air Temperature [C](Hourly),ABF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ANTEROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,-40.0,4.0,-18.0,-18.0,-18.000000000000004,-18.0,15.658417414302702,12791434.836902216,608907.1558635739,29801823.14462279,30066414.725035947,29191712.249774512,29463455.32795817 
 01/01  02:00:00,-40.0,4.0,-18.0,-18.0,-18.000000000000004,-18.0,15.552880426429438,12762000.647823194,558939.3641834231,29711837.00436844,29971179.86522946,29098357.2291537,29364656.920597468 
 01/01  03:00:00,-40.00000000000001,4.0,-18.0,-18.0,-18.0,-18.0,15.451223240260589,12728702.424933974,518092.95442090085,29557716.087132763,29812964.200255178,28940436.733184002,29202448.631869204 
 01/01  04:00:00,-39.99999999999999,4.0,-18.0,-18.0,-18.0,-17.999999999999996,15.349541296453422,12695403.107893128,477575.96753021434,29426620.749035746,29678657.367569923,28805583.418160114,29064204.066231854 
 01/01  05:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.250846979517044,12666810.771831263,458909.2795212715,29292082.976699695,29541651.458611313,28667686.21832222,28923680.01366117 
 01/01  06:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.158945683514409,12646897.664290957,446602.56758342957,29283495.868992746,29531239.34129695,28656325.311380457,28910371.523579 
 01/01  07:00:00,-40.0,4.0,-18.0,-18.0,-18.000000000000004,-18.0,15.079744306005894,12643364.620938635,463366.58731874335,29383122.271076277,29630029.5234377,28755739.97719822,29008911.2123783 
 01/01  08:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.016657891759357,41990591.14862276,45282975.185600474,29650955.172879796,29901048.829820555,29029876.32124346,29286481.007213056 
 01/01  09:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.98442813659589,42552254.61611847,51437960.185117155,30182738.64220951,30443932.67432747,29583915.90603938,29852491.647567995 
 01/01  10:00:00,-40.00000000000001,4.000000000000001,-18.0,-17.999999999999996,-18.0,-18.0,15.01090186544645,43140301.782762386,54607704.915068984,30864044.339744654,31143811.510275498,30306350.305077523,30595012.529405564 
 01/01  11:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-17.999999999999996,15.11359482284429,43763768.665557854,57729011.02587357,31577816.12669552,31880243.362011824,31068071.170343824,31381169.45001509 
 01/01  12:00:00,-40.0,4.0,-18.0,-18.000000000000004,-18.0,-18.0,15.286681948574278,44006388.74412733,58599969.25619601,31841641.077178128,32167042.47173296,31371072.891935565,31708655.525473803 
 01/01  13:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-17.999999999999996,15.503887647070291,43986327.8250502,58042548.42698787,31801332.14733937,32146370.811316114,31347767.054184377,31705761.212456096 
